GenID	FL21_STAND_BLUE	FL21_TPF_BLUE	FL21_EL_BLUE	FL21_EW_BLUE	FL21_SOL_BLUE	FL21_TP_BLUE	FL21_CUR_BLUE	FL21_STAND_BLUP	FL21_TPF_BLUP	FL21_EL_BLUP	FL21_EW_BLUP	FL21_SOL_BLUP	FL21_TP_BLUP	FL21_CUR_BLUP
C394	63.52101478	0.997540138	20.94095404	4.904108088	0.804910041	97.39151785	55.74010234	63.15565692	0.996371132	21.28593181	4.906292067	0.807441908	104.881448	54.33493741
C401	80.95553375	0.996053737	19.9618096	4.554732997	0.890059875	105.6163207	48.4408816	79.53405594	0.995585206	20.42562824	4.78252172	0.832534318	108.4120281	53.5839887
C403	17.03328839	0.998870153	31.56512261	5.737925659	0.765232424	84.10419582	71.26929836	19.46045089	0.996428992	28.60312347	5.086247852	0.792036219	97.54278184	56.1267216
C415	83.52101478	0.997493036	19.43301804	5.794549182	0.803752852	120.1741134	66.14735541	81.52975123	0.996346227	20.07762022	5.221739463	0.807094806	116.3850191	55.3310449
C417	45.49338413	0.998818905	20.55283303	5.571827441	0.74067655	125.3287552	71.98409608	45.62035206	0.997010001	21.0480121	5.138097303	0.780327585	119.7650786	56.74930738
C419	87.64628993	0.995737844	21.19670717	5.432596	0.802297045	121.3188664	67.18135861	85.75255293	0.995418171	21.17404102	5.093513639	0.805094168	116.4211233	55.62551461
C420	57.64628993	0.997090559	19.73317216	5.218605592	0.768881538	112.8529371	56.01221554	58.19141146	0.996133411	20.00130802	5.017705461	0.79507108	112.1464382	54.55648449
C421	87.52101478	0.989400527	18.85203558	5.252337366	0.78136173	136.3955156	77.46039675	85.2045701	0.992067361	19.61207803	5.029655667	0.800378517	124.5756597	56.41384793
C428	91.03328839	0.995375401	21.21770279	5.392753953	0.820081005	141.5557564	64.08230979	87.44459985	0.995226541	21.65286035	5.079399113	0.808488226	126.5516851	55.43883469
C430	80.84500724	0.992446286	21.35448364	5.254115852	0.823132684	137.6647838	62.24883412	79.13050134	0.993677782	21.49298537	5.030284665	0.809914188	124.4111184	55.11480514
C445	77.83457108	0.998566379	19.46495329	4.716839856	0.846777801	117.8015045	26.14994195	75.69255713	0.996913749	20.05586151	4.839950637	0.817925712	114.8210143	51.84682464
C464	83.03328839	0.996625768	17.57837909	4.458718092	0.839369222	98.91333092	46.66242712	80.09496213	0.995887666	18.73666431	4.748507847	0.814273788	105.0203292	53.77152868
C466	93.1438149	0.994341046	21.67842387	4.535959186	0.745864398	116.6096738	80.15078392	89.68556388	0.994851983	22.19545297	4.833275259	0.788771822	114.1387859	56.76757516
C467	36.62845395	0.997976226	19.24013564	4.97050752	0.871001324	105.6060312	39.87503164	39.86361185	0.996158396	20.24222368	4.926815847	0.817662992	110.1822948	53.65060822
C468	87.79508797	0.988941124	19.00283812	4.603231853	0.861856163	127.0881259	24.67469051	83.40242517	0.995138607	22.46085105	4.914830427	0.81607186	117.0714102	52.97855718
C489	84.84500724	0.995854639	20.84505263	5.050082786	0.857670021	115.3587073	49.59388678	82.80532021	0.995479929	21.08477746	4.958003972	0.820273773	113.1481551	53.9035645
C491	27.52101478	0.997712425	25.20417052	4.826417043	0.748974186	102.8989649	50.62129784	30.08228715	0.996462228	24.70205416	4.87876926	0.790663769	107.6623124	53.84500222
C513	38.84500724	0.994597294	19.90407186	5.027861431	0.851612321	106.2678828	62.04243233	40.54490328	0.994815116	20.33076803	4.950131841	0.818456746	108.557943	55.09504984
C520	95.41048827	0.987195396	15.66679409	4.81224008	0.843449174	111.7288255	27.50932351	92.15065323	0.990901406	17.01114392	4.873746717	0.816456739	111.9376794	51.84210852
C530	97.83457108	0.997698153	20.05143721	4.415754189	0.871700642	104.1545637	31.37750558	94.06665145	0.996454679	20.52581203	4.733288118	0.825401397	107.9302914	52.34716947
C536	93.83457108	0.998366329	20.33615277	4.578367194	0.794645058	105.5279256	48.49149371	90.39183258	0.996807973	20.75395508	4.790895353	0.802288328	108.6237403	53.98519746
C543	87.03328839	0.999009844	19.53181137	5.044032045	0.902906117	92.57243782	24.45505629	83.76978099	0.996479195	20.55913814	4.936881306	0.833331883	101.8186346	51.6459987
C546	87.52101478	0.993669435	17.08807694	5.007354106	0.81826668	96.75924807	41.79302644	85.2045701	0.994324521	18.19861507	4.94286797	0.811448275	104.5621973	53.00002351
C567	25.64628993	0.996919315	26.74798355	4.949833714	0.810623909	113.1219074	56.42779817	28.79286056	0.996042867	25.62228788	4.922490416	0.807591838	112.2822489	54.59626107
C568	17.83457108	0.998719404	28.23830246	5.038851051	0.755262111	86.39902657	66.45764107	20.57027418	0.99699466	27.08596058	4.954026227	0.790475287	98.96502298	55.704788
C569	31.64628993	0.993339233	26.00949138	5.695159645	0.748492919	111.5387307	86.9326953	34.30508885	0.99414992	25.0305329	5.186529358	0.788955448	111.4828586	57.51597065
C570	26.41357562	0.995115699	30.05675951	5.594131663	0.661970774	111.7179206	90.8715048	31.11807586	0.995079712	27.67589765	5.055295226	0.782116651	111.7728513	56.04544715
C571	65.27715158	0.996290817	22.45128718	4.937780889	0.833302183	107.5275084	48.00123734	64.59168339	0.995802409	22.50741046	4.917137152	0.818859141	108.9899442	53.21144065
C572	56.84500724	0.995063397	22.92108573	5.026674306	0.828973982	97.88968637	59.10171541	57.08158817	0.995061564	22.74830618	4.949711291	0.811666304	104.3275568	54.81358555
C573	16.95553375	0.988941124	19.00283812	4.603231853	0.6611264	106.4768	106.9817926	20.73695413	0.995138607	22.46085105	4.914830427	0.76386499	108.8465083	59.1871041
C574	15.49749188	0.996557317	25.87912812	5.389873475	0.788161556	109.0784818	83.0748132	22.57817066	0.995648464	24.55390767	5.017086952	0.802519195	110.5224998	55.76695562
C579	92.95553375	0.991309969	18.02006423	4.839377593	0.825425583	137.0292123	65.14183112	90.55851253	0.993076966	18.86970449	4.88335983	0.813147056	124.2732776	55.1824836
C583	20.95553375	0.996965299	23.9535364	5.315151228	0.766450059	112.6049927	47.79702144	24.41177299	0.996067189	23.62420548	5.051907256	0.795457159	111.9408045	53.52236304
