GenID WI21_DTP_BLUE WI21_DTS_BLUE WI21_KRN_BLUE WI21_HAP_BLUE WI21_HP_BLUE WI21_EW_BLUE WI21_EL_BLUE WI21_TPF_BLUE WI21_RAP_BLUE WI21_ES_BLUE WI21_CR_BLUE WI21_FL_BLUE WI21_TXT_BLUE WI21_RT_BLUE WI21_HD_BLUE WI21_DTP_BLUP WI21_DTS_BLUP WI21_KRN_BLUP WI21_HAP_BLUP WI21_HP_BLUP WI21_EW_BLUP WI21_EL_BLUP WI21_TPF_BLUP WI21_RAP_BLUP WI21_ES_BLUP WI21_CR_BLUP WI21_FL_BLUP WI21_TXT_BLUP WI21_RT_BLUP WI21_HD_BLUP
C196 53.8803418803419 55.2649572649573 16.2564102564103 3.51282051282051 2.5 4.53380086580087 18.4282251082251 3.08554112554113 3.95428571428571 3.49385281385281 4.05595193390913 4.04588744588744 1.95307359307359 3.02562770562771 78.2649572649573 53.9914522752237 55.4595182475849 16.3269231572746 3.71852829184608 2.72150130078697 4.56591604242649 18.5838951775112 3.23715557246832 3.82884477220021 3.59456057338668 3.81721306646175 3.73903437757647 2.35230834741923 3.02597117713933 78.4595182475844
C203 51.2136752136752 53.931623931624 15.5897435897436 4.36369770580297 2.05701754385965 4.62431168831169 19.601038961039 4.44813852813853 3.28952380952381 3.34701298701299 4.4174489923645 4.05281385281385 2.89316017316017 3.33264069264069 76.9316239316239 51.6021171541817 54.2779424807011 15.7435899189023 4.09475829837087 2.27283870543834 4.62702976121428 19.5924033335355 4.37796851926878 3.46309427539138 3.47010488613815 4.17356174331558 3.78815718597608 2.85155030106329 3.17326374595866 77.2779424807002
C247 54.5470085470086 57.2649572649573 16.5897435897436 3.03036437246964 3.39035087719298 4.42431168831169 19.9343722943723 1.44813852813853 3.28952380952381 3.68034632034632 2.4174489923645 3.71948051948052 2.55982683982684 2.99930735930736 80.2649572649573 54.5887860554842 57.2318818979105 16.6185897764608 3.45204494458189 3.42600721650907 4.47385936380979 19.8929670372001 1.77086285732736 3.46309427539138 3.70439336782968 2.56646290380034 3.64184514414847 2.64492035808987 3.01335992897011 80.2318818979107
C254 54.2136752136752 57.2649572649573 13.9230769230769 4.03036437246964 4.05701754385965 4.15764502164502 20.2677056277056 1.78147186147186 3.95619047619048 4.01367965367965 3.08411565903117 2.71948051948052 2.55982683982684 2.66597402597403 80.2649572649573 54.2901191653539 57.2318818979105 14.2852568229713 3.93407995992363 4.00259147204444 4.26963216727047 20.1935307408647 2.06054126420974 3.85599284227479 3.9386818495212 3.10216251697209 3.20290901866565 2.64492035808987 2.85345611198157 80.2318818979107
C317 53.5470085470086 54.2649572649573 16.9230769230769 3.36369770580297 4.05701754385965 4.49097835497836 20.2677056277056 3.44813852813853 3.28952380952381 2.01367965367965 4.08411565903117 3.71948051948052 1.89316017316017 1.99930735930736 77.2649572649573 53.6927853850934 54.573336422422 16.910256395647 3.61272328302914 4.00259147204444 4.52491616294462 20.1935307408647 3.50893329862164 3.46309427539138 2.53295095937206 3.90571193672971 3.64184514414847 2.23166047214302 2.53364847800447 77.5733364224212
C319 53.8803418803419 54.5982905982906 14.9230769230769 2.6970310391363 2.72368421052632 4.53646753246753 20.4015584415584 2.67220779220779 3.43428571428571 2.52051948051948 2.12617348854675 3.57922077922078 2.33974025974026 2.99896103896104 77.5982905982906 53.9914522752237 54.868730364143 15.1602566805299 3.29136660613465 2.84942296097371 4.56773664352453 20.2766953071762 2.90085685719615 3.57630995262486 3.00199542872031 2.40785770447179 3.5804616283703 2.55244133709695 3.0159028564113 77.8687303641423
C328 54.5470085470086 56.2649572649573 15.5897435897436 2.03036437246964 3.39035087719298 4.42431168831169 19.601038961039 3.78147186147186 3.95619047619048 4.01367965367965 2.4174489923645 3.38614718614718 1.89316017316017 2.33264069264069 79.2649572649573 54.5887860554842 56.3457000727477 15.7435899189023 2.97000992924016 3.42600721650907 4.47385936380979 19.5924033335355 3.79861170550402 3.85599284227479 3.9386818495212 2.56646290380034 3.49553310232087 2.23166047214302 2.69355229499302 79.3457000727475
C352 53.5470085470086 55.5982905982906 18.2564102564103 3.6970310391363 4.39035087719298 4.99097835497836 20.2677056277056 4.78147186147186 3.95619047619048 4.01367965367965 2.75078232569783 3.71948051948052 2.89316017316017 2.99930735930736 78.5982905982906 53.6927853850934 55.7549121893058 18.0769228723918 3.77340162147638 4.29088359981212 4.90784215645584 20.1935307408647 4.66764692615116 3.85599284227479 3.9386818495212 2.83431271038621 3.64184514414847 2.85155030106329 3.01335992897011 78.7549121893054
C353 53.5470085470086 55.931623931624 17.5897435897436 3.36369770580297 3.05701754385965 4.99097835497836 20.2677056277056 3.11480519480519 3.95619047619048 3.68034632034632 3.4174489923645 3.38614718614718 2.55982683982684 2.99930735930736 78.9316239316239 53.6927853850934 56.0503061310267 17.4935896340194 3.61272328302914 3.13771508874139 4.90784215645584 20.1935307408647 3.21925489173926 3.85599284227479 3.70439336782968 3.37001232355796 3.49553310232087 2.64492035808987 3.01335992897011 79.0503061310265
C355 56.2136752136752 57.5982905982906 14.9230769230769 4.6970310391363 3.39035087719298 4.52431168831169 20.2677056277056 3.78147186147186 4.28952380952381 4.34701298701299 1.75078232569783 3.71948051948052 2.55982683982684 2.66597402597403 80.5982905982906 56.0821205061355 57.5272758396314 15.1602566805299 4.25543663681812 3.42600721650907 4.55044456251203 20.1935307408647 3.79861170550402 4.0524421257165 4.17297033121272 2.03076329062859 3.64184514414847 2.64492035808987 2.85345611198157 80.5272758396317
C378 54.8803418803419 56.2649572649573 18.5897435897436 3.6970310391363 4.39035087719298 4.89097835497836 20.2677056277056 3.78147186147186 3.62285714285714 4.01367965367965 1.75078232569783 3.05281385281385 2.55982683982684 2.66597402597403 79.2649572649573 54.8874529456144 56.3457000727477 18.368589491578 3.77340162147638 4.29088359981212 4.83125695775359 20.1935307408647 3.79861170550402 3.65954355883309 3.9386818495212 2.03076329062859 3.34922106049326 2.64492035808987 2.85345611198157 79.3457000727475
C383 59.2136752136752 61.931623931624 19.5897435897436 2.6970310391363 4.39035087719298 5.09097835497836 22.601038961039 1.78147186147186 3.95619047619048 4.01367965367965 2.75078232569785 3.05281385281385 2.89316017316017 2.99930735930736 84.9316239316239 58.7701225173077 61.3673970820037 19.2435893491366 3.29136660613465 4.29088359981212 4.98442735515808 22.297476666517 2.06054126420974 3.85599284227479 3.9386818495212 3.16523882365085 3.34922106049326 2.85155030106329 3.01335992897011 84.3673970820054
C390 56.2136752136752 58.2649572649573 17.5897435897436 3.36369770580297 4.72368421052632 4.82431168831169 18.9343722943723 4.44813852813853 3.95619047619048 4.34701298701299 1.75078232569783 3.05281385281385 2.22649350649351 2.33264069264069 81.2649572649573 56.0821205061355 58.1180637230733 17.4935896340194 3.61272328302914 4.5791757275798 4.78020015861876 18.9912759262062 4.37796851926878 3.85599284227479 4.17297033121272 2.03076329062859 3.34922106049326 2.43829041511645 2.69355229499302 81.1180637230738
C417 54.2136752136752 55.2649572649573 19.9230769230769 3.6970310391363 4.39035087719298 5.09097835497836 16.9343722943723 5.11480519480519 3.62285714285714 3.68034632034632 4.12617348854675 4.05281385281385 2.55982683982684 2.66597402597403 78.2649572649573 54.2901191653539 55.4595182475849 19.5352559683228 3.77340162147638 4.29088359981212 4.98442735515808 17.1878937042186 4.95732533303354 3.65954355883309 3.70439336782968 3.8712175942608 3.78815718597608 2.64492035808987 2.85345611198157 78.4595182475844
C530 50.8803418803419 52.5982905982906 14.2564102564103 4.6970310391363 4.39035087719298 4.35764502164502 18.9343722943723 4.78147186147186 3.95619047619048 3.68034632034632 4.08411565903117 3.38614718614718 2.89316017316017 2.66597402597403 75.5982905982906 51.3034502640514 53.0963667138173 14.5769234421575 4.25543663681812 4.29088359981212 4.42280256467496 18.9912759262062 4.66764692615116 3.85599284227479 3.70439336782968 3.90571193672971 3.49553310232087 2.85155030106329 2.85345611198157 76.096366713816
C546 53.8803418803419 54.931623931624 16.5897435897436 3.36369770580297 4.05701754385965 4.62431168831169 19.2677056277056 4.44813852813853 3.95619047619048 4.01367965367965 2.75078232569783 3.38614718614718 2.22649350649351 2.99930735930736 77.9316239316239 53.9914522752237 55.1641243058639 16.6185897764608 3.61272328302914 4.00259147204444 4.62702976121428 19.2918396298709 4.37796851926878 3.85599284227479 3.9386818495212 2.83431271038621 3.49553310232087 2.43829041511645 3.01335992897011 78.1641243058633
C571 55.2136752136752 56.931623931624 14.5897435897436 3.03036437246964 4.39035087719298 4.95764502164502 19.9343722943723 2.44813852813853 3.95619047619048 2.34701298701299 3.08411565903117 3.05281385281385 2.55982683982684 2.99930735930736 79.9316239316239 55.1861198357447 56.9364879561896 14.8685900613437 3.45204494458189 4.29088359981212 4.88231375688842 19.8929670372001 2.6398980779745 3.85599284227479 2.76723944106359 3.10216251697209 3.34922106049326 2.64492035808987 3.01335992897011 79.9364879561896
C579 53.5470085470086 54.931623931624 16.2564102564103 3.36369770580297 4.72368421052632 4.95764502164502 17.601038961039 4.78147186147186 3.62285714285714 3.68034632034632 2.75078232569783 3.38614718614718 2.55982683982684 2.66597402597403 77.9316239316239 53.6927853850934 55.1641243058639 16.3269231572746 3.61272328302914 4.5791757275798 4.88231375688842 17.7890211115478 4.66764692615116 3.65954355883309 3.70439336782968 2.83431271038621 3.49553310232087 2.64492035808987 2.85345611198157 78.1641243058633
C583 55.5470085470086 57.5982905982906 16.5897435897436 3.36369770580297 4.05701754385965 4.55764502164502 18.2677056277056 4.44813852813853 3.62285714285714 3.68034632034632 3.08411565903117 3.71948051948052 3.22649350649351 3.33264069264069 80.5982905982906 55.484786725875 57.5272758396314 16.6185897764608 3.61272328302914 4.00259147204444 4.57597296207945 18.390148518877 4.37796851926878 3.65954355883309 3.70439336782968 3.10216251697209 3.64184514414847 3.05818024403671 3.17326374595866 80.5272758396317
