GenID BG20_STAND_BLUE BG20_DTP_BLUE BG20_HP_BLUE BG20_EW_BLUE BG20_EL_BLUE BG20_TPF_BLUE BG20_PH_BLUE BG20_EH_BLUE BG20_STAND_BLUP BG20_DTP_BLUP BG20_HP_BLUP BG20_EW_BLUP BG20_EL_BLUP BG20_TPF_BLUP BG20_PH_BLUP BG20_EH_BLUP
C090 86.5252297785639 59.6097548326116 2.10681535928564 4.45628628514943 18.2069392685666 3.10656343496112 151.64422307935 51.4991066621535 85.6580860343856 59.4181680652157 2.02398262862275 4.50508624314847 18.4319852021363 3.04261069945994 151.425318713496 54.3068609448414
C091 74.2063815835956 59.999999590249 1.66196820269325 3.89899150664728 18.1872710786526 3.461389398012 152.628155018239 70.1990348522046 74.8380133382604 59.1787046312844 1.68587670770933 4.16948607168121 18.4319845658384 3.32506956875966 152.612151807023 70.0997738811995
C092 91.4806027613194 59.999999590249 1.00509467352775 4.26723199478059 19.2052506251085 4.72878688727916 132.482979249125 55.3065633105849 89.8474129613659 59.1787046312844 1.17022437462741 4.38568267182076 19.320158451605 4.29173423192293 134.92989512614 57.0874730543436
C097 54.4806027613194 59.999999590249 1.50509467352775 4.68389866144726 19.6219172917752 4.22878688727916 134.982979249125 55.3065633105849 57.5976595692768 59.1787046312844 1.57492413766555 4.6315625002159 19.6902307046638 3.8855130727094 137.07484881614 57.0874730543436
C101 78.5252297785639 59.999999590249 0.940148692618978 4.78961961848276 20.7069392685666 3.43989676829445 146.64422307935 56.4991066621535 78.685166382042 59.1787046312844 1.07968318153375 4.70179010586458 20.6524187204888 3.31342480560229 147.135411333496 58.5010488097562
C102 81.4820251106816 59.999999590249 0.964950425048834 4.65122502302041 20.6167410103498 2.74634924112859 158.701587054021 75.1638637346909 81.3671133010275 59.1787046312844 1.12745375106725 4.62783263518298 20.5784040596627 2.72133168935796 158.145185876272 74.6284967758823
C103 88.5280802503219 59.999999590249 1.68812429523447 4.8983719650258 20.160177431178 5.05711970975307 142.50051040166 55.9507603262177 87.1307848437912 59.1787046312844 1.74283807230997 4.66661689237812 20.1787204628261 4.37021667765607 143.498535317195 57.9716791346611
C106 78.4806027613194 59.999999590251 1.02431471031931 4.64102555379299 21.0084819106294 1.55843631047132 124.982979249125 45.3065633105849 78.5164185263076 59.5501186895047 1.3041906174142 4.57860835412171 20.8444225458911 1.86416164853305 128.495034056139 48.6990973245139
C107 65.2092320553536 59.999999590249 1.19897822783725 4.95266940310428 17.018795382303 4.35103119270699 135.984442340549 57.1506885162687 66.7229476256936 59.1787046312844 1.32894117446741 4.7544559313281 17.3957820037313 4.08136276730009 138.250507340721 59.0849345438174
C109 73.1929084243356 59.999999590249 1.24854547855883 4.44619673649025 18.8668057630031 4.61478473256656 147.003979446611 61.2462721040982 74.0550115887663 59.1787046312844 1.36662293503149 4.4922554071845 19.0241004543262 4.24785809656128 147.589808201914 62.0520484832651
C111 91.2063815835956 59.999999590249 0.995301536026583 4.06565817331395 19.4372710786526 1.461389398012 127.628155018239 50.1990348522046 89.6554675994905 59.1787046312844 1.14627702365848 4.26783800303927 19.5422013250147 1.70018493190556 131.16261490702 53.3230224215402
C112 74.6677028262358 59.999999590249 1.15397950134223 4.40003029197351 17.8699866843106 3.15338155903381 159.398568784823 80.3329872306758 75.4862348705395 59.1787046312844 1.28747712061663 4.47429541442031 18.1359272036513 3.08745989763821 158.953654321324 78.8558794079723
C113 60.5252297785639 59.999999590249 0.940148692618979 4.70628628514943 19.9569392685666 2.93989676829445 139.14422307935 56.4991066621535 62.996097164269 59.1787046312844 1.07968318153375 4.65261414018556 19.986288664983 2.90720364638876 140.700550263495 58.5010488097562
C115 84.6340316775526 59.999999590249 1.16691782768467 4.13719901740984 19.782972167719 4.12358895032967 149.52883528477 68.0810515290427 83.7381926809677 59.1787046312844 1.28550646010581 4.31728828143959 19.8382593306289 3.8418688293021 149.130520006468 67.0493556209385
C123 70.9172648972495 59.999999590249 1.02889658953658 4.36062988678379 21.6040024979725 1.82982488944996 168.43054741083 83.7814432216119 71.883986408714 59.1787046312844 1.18309632610364 4.42731656911496 21.4665768984305 2.0080478614683 165.651264722669 80.5913588456139
